name,place_id,address,latitude,longitude,rating,user_ratings_total,price_level,types,business_status,phone_number,website,opening_hours
Alberts,ChIJu0zKlSmF2EcR1105BnQGl-g,"Neighborhood Centre, 13 Thorley Ln E, Bishop's Stortford CM23 4EG, UK",51.8586127,0.1449715,4.7,250,2,"cafe, store, restaurant, food, point_of_interest, establishment",OPERATIONAL,01279 507799,https://m.facebook.com/albertsthorley/?locale2=en_GB,
Phil's Cuisine Ltd,ChIJ8d4muSKF2EcR6YJfyIqEeBU,"N/A, Bishop's Stortford CM23 5AL, UK",51.8720634,0.179357,4.5,15,,"restaurant, food, point_of_interest, establishment",OPERATIONAL,01279 956963,http://philscuisine.com/,
China City Bishop’s Stortford,ChIJgfbvTzyF2EcRnGO4pRBUe3I,"25 Church St, Bishop's Stortford CM23 2LY, UK",51.87002440000001,0.1583996,4.5,213,1,"meal_takeaway, restaurant, food, point_of_interest, establishment",OPERATIONAL,01279 652807,,
The Rivermill,ChIJWXX4ODiF2EcRfprcBUG1H9w,"Millars 1, Southmill Rd, Bishop's Stortford CM23 3DH, UK",51.8648581,0.1639738,4.3,293,1,"restaurant, food, point_of_interest, establishment",OPERATIONAL,01279 503799,http://www.therivermill.net/,
Pizza Express,ChIJ6zl8mj2F2EcRvhLBmIG0qyM,"25 North St, Bishop's Stortford CM23 2LD, UK",51.8724093,0.1582672,4.1,457,2,"meal_takeaway, restaurant, food, point_of_interest, establishment",OPERATIONAL,01279 757677,https://www.pizzaexpress.com/bishops-stortford?utm_source=GMB&utm_medium=Website&utm_campaign=GMB-WEB-581-bishops-stortford,
Domino's Pizza - Bishop's Stortford,ChIJg4A1JxaF2EcRd3Gn3Zurej8,"9, 11 Northgate End, Bishop's Stortford CM23 2ET, UK",51.873284,0.1589701,3.3,161,2,"meal_delivery, meal_takeaway, restaurant, food, point_of_interest, establishment",OPERATIONAL,01279 506000,https://www.dominos.co.uk/pizza-near-me/bishops-stortford/9/11-northgate-end?utm_source=gmb&utm_medium=yext&y_source=1_MTIxMzcwMTktNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,
Baan Thitiya - Thai Cuisine,ChIJZ_zJ5jeF2EcRWDaOCita5ZI,"102 London Rd, Bishop's Stortford CM23 3DS, UK",51.8616767,0.1662906,4.5,506,2,"meal_takeaway, restaurant, food, point_of_interest, establishment",OPERATIONAL,01279 658575,https://baan-thitiya.com/,
Prezzo Italian Restaurant Bishops Stortford,ChIJ1x1qc7qa2EcR5yl8RhqNJQA,"1 North St, Bishop's Stortford CM23 2LD, UK",51.8714041,0.1586051,4.2,576,2,"restaurant, food, point_of_interest, establishment",OPERATIONAL,01279 598615,https://www.prezzo.co.uk/restaurants/bishops-stortford/,
Gourmet Oriental Bishop’s Stortford,ChIJJb9HVjmF2EcRp4ucp8IhNLY,"88 South St, Bishop's Stortford CM23 3BG, UK",51.867584,0.160654,3.9,232,2,"meal_takeaway, restaurant, food, point_of_interest, establishment",OPERATIONAL,01279 505799,http://www.gourmetorientalstortford.co.uk/,
Jades Restaurant,ChIJu0zKlSmF2EcRX5KqsTJAh1s,"1 Thorley Ln E, Bishop's Stortford CM23 4EG, UK",51.8584823,0.1440503,3.8,74,,"meal_takeaway, restaurant, food, point_of_interest, establishment",OPERATIONAL,01279 506794,,
